class	word	bases	sequence	linearity	semantic relation	unilm_segmentation_raw	unilm_segmentation_bpe	segmentation_str
blend	adhocrat	adhoc aristocrat	AAAAXBBB	linear	time	['▁a', 'd', 'ho', 'cra', 't']	['a', '##d', '##ho', '##cra', '##t']	a ##d ##ho ##cra ##t
blend	ambidancetrous	ambidextrous dance	AAAAXBBBBAAAAA	nonlinear	attribute	['▁am', 'bi', 'dance', 't', 'rous']	['am', '##bi', '##dance', '##t', '##rous']	am ##bi ##dance ##t ##rous
blend	analingus	anal cunnilingus	AAAXBBBBB	linear	loc_part_whole	['▁an', 'al', 'ing', 'us']	['an', '##al', '##ing', '##us']	an ##al ##ing ##us
blend	aquamation	aqua cremation	AAAABBBBBB	linear	causal	['▁a', 'qua', 'm', 'ation']	['a', '##qua', '##m', '##ation']	a ##qua ##m ##ation
blend	artveillance	art surveillance	AAABBBBBBBBB	linear	purpose	['▁art', 've', 'il', 'lance']	['art', '##ve', '##il', '##lance']	art ##ve ##il ##lance
blend	athcouture	athletic couture	AAABBBBBBB	linear	purpose	['▁a', 'th', 'c', 'out', 'ure']	['a', '##th', '##c', '##out', '##ure']	a ##th ##c ##out ##ure
blend	automatovelociraptor	automatic velociraptor	AAAAAAAOBBBBBBBBBBBB	linear	attribute	['▁auto', 'm', 'ato', 've', 'loc', 'ira', 'p', 'tor']	['auto', '##m', '##ato', '##ve', '##loc', '##ira', '##p', '##tor']	auto ##m ##ato ##ve ##loc ##ira ##p ##tor
blend	babymooners	baby honeymooners	AAAXBBBBBBB	linear	purpose	['▁baby', 'm', 'oon', 'ers']	['baby', '##m', '##oon', '##ers']	baby ##m ##oon ##ers
blend	barricage	barricade cage	AAAAAXBBB	linear	attribute	['▁barr', 'ic', 'age']	['barr', '##ic', '##age']	barr ##ic ##age
blend	bigature	big miniature	AAABBBBB	linear	attribute	['▁big', 'ature']	['big', '##ature']	big ##ature
blend	bildogsromans	bildungsroman dog	AAAXBXAAAAAAS	nonlinear	topical	['▁', 'bil', 'dog', 's', 'ro', 'man', 's']	['', '##bil', '##dog', '##s', '##ro', '##man', '##s']	 ##bil ##dog ##s ##ro ##man ##s
blend	birkini	birqa bikini	XXABBBB	nonlinear	attribute	['▁bi', 'rk', 'ini']	['bi', '##rk', '##ini']	bi ##rk ##ini
blend	bizcations	biz vacation	AAABBBBBBS	linear	purpose	['▁', 'biz', 'cation', 's']	['', '##biz', '##cation', '##s']	 ##biz ##cation ##s
blend	bizliner	biz cruiseliner	AAABBBBB	linear	purpose	['▁', 'biz', 'liner']	['', '##biz', '##liner']	 ##biz ##liner
blend	bitmojis	bit emoji	AAABBBBS	linear	containment	['▁bit', 'mo', 'ji', 's']	['bit', '##mo', '##ji', '##s']	bit ##mo ##ji ##s
blend	blaspy	black wasp	AAXBBS	linear	attribute	['▁b', 'las', 'p', 'y']	['b', '##las', '##p', '##y']	b ##las ##p ##y
blend	blurrealist	blur surreal	AAXXBBBBSSS	linear	attribute	['▁blur', 're', 'al', 'ist']	['blur', '##re', '##al', '##ist']	blur ##re ##al ##ist
blend	bookstagrammer	book instagram	AAAABBBBBBBOSS	linear	topical	['▁books', 'ta', 'gram', 'mer']	['books', '##ta', '##gram', '##mer']	books ##ta ##gram ##mer
blend	bordoodle	border_collie poodle	AAAABBBBB	linear	attribute	['▁', 'bor', 'd', 'ood', 'le']	['', '##bor', '##d', '##ood', '##le']	 ##bor ##d ##ood ##le
blend	breastaurants	breast restaurant	AXXAXXBBBBBBS	nonlinear	containment	['▁breast', 'au', 'rant', 's']	['breast', '##au', '##rant', '##s']	breast ##au ##rant ##s
blend	bridesmates	bridesmaid mate	AAAAAAXXBBS	linear	purpose	['▁bride', 's', 'mates']	['bride', '##s', '##mates']	bride ##s ##mates
blend	brocialist	bro socialist	AAXBBBBBBB	linear	attribute	['▁', 'bro', 'cial', 'ist']	['', '##bro', '##cial', '##ist']	 ##bro ##cial ##ist
blend	broketose	broke lactose	AAAAABBBB	linear	attribute	['▁broke', 't', 'ose']	['broke', '##t', '##ose']	broke ##t ##ose
blend	bromosexuality	bro homosexual	AAXBBBBBBBBSSS	linear	attribute	['▁', 'bro', 'mo', 'sexual', 'ity']	['', '##bro', '##mo', '##sexual', '##ity']	 ##bro ##mo ##sexual ##ity
blend	brosephs	bro joseph	AAXBBBBS	linear	attribute	['▁', 'bro', 's', 'eph', 's']	['', '##bro', '##s', '##eph', '##s']	 ##bro ##s ##eph ##s
blend	brotelier	bro hotelier	AAXBBBBBB	linear	attribute	['▁', 'bro', 'tel', 'ier']	['', '##bro', '##tel', '##ier']	 ##bro ##tel ##ier
blend	bullversary	bull anniversary	AAAABBBBBBB	linear	topical	['▁bull', 'ver', 's', 'ary']	['bull', '##ver', '##s', '##ary']	bull ##ver ##s ##ary
blend	cancerchondria	cancer hypochondria	AAAAAABBBBBBBB	linear	topical	['▁cancer', 'chon', 'd', 'ria']	['cancer', '##chon', '##d', '##ria']	cancer ##chon ##d ##ria
blend	chesticle	chest testicle	AAXXXBBBB	linear	loc_part_whole	['▁chest', 'ic', 'le']	['chest', '##ic', '##le']	chest ##ic ##le
blend	chicksplains	chick explain	AAAAAOBBBBBS	linear	causal	['▁chick', 's', 'p', 'lain', 's']	['chick', '##s', '##p', '##lain', '##s']	chick ##s ##p ##lain ##s
blend	chimpanzombies	chimpanzee zombies	AAAAAAAXBBBBBB	linear	attribute	['▁', 'chi', 'm', 'p', 'an', 'zo', 'mb', 'ies']	['', '##chi', '##m', '##p', '##an', '##zo', '##mb', '##ies']	 ##chi ##m ##p ##an ##zo ##mb ##ies
blend	chipster	chicano hipster	AXXBBBBB	linear	attribute	['▁chips', 'ter']	['chips', '##ter']	chips ##ter
blend	churchagogues	church synagogues	AAAAAABBBBBBB	linear	attribute	['▁church', 'ago', 'gue', 's']	['church', '##ago', '##gue', '##s']	church ##ago ##gue ##s
blend	cinnabark	cinnamon bark	AAAAABBBB	linear	attribute	['▁', 'cin', 'na', 'bar', 'k']	['', '##cin', '##na', '##bar', '##k']	 ##cin ##na ##bar ##k
blend	clairsentient	clairvoyant sentient	AAAAABBBBBBXX	nonlinear	causal	['▁', 'cla', 'ir', 's', 'ent', 'ient']	['', '##cla', '##ir', '##s', '##ent', '##ient']	 ##cla ##ir ##s ##ent ##ient
blend	cliteracy	clit literacy	AXXXBBBBB	linear	topical	['▁', 'cl', 'iteracy']	['', '##cl', '##iteracy']	 ##cl ##iteracy
blend	craftivists	craft activist	AAXAXBBBBBS	nonlinear	causal	['▁craft', 'iv', 'ists']	['craft', '##iv', '##ists']	craft ##iv ##ists
blend	crapberg	crap iceberg	AAAABBBB	linear	containment	['▁crap', 'berg']	['crap', '##berg']	crap ##berg
blend	cryptocohn	coin cohn	PPPPPPXXBX	nonlinear	causal	['▁crypt', 'o', 'co', 'hn']	['crypt', '##o', '##co', '##hn']	crypt ##o ##co ##hn
blend	disemvowelled	bowel vowel	PPPPPBXXXXXSS	nonlinear	cause	['▁dis', 'em', 'vo', 'well', 'ed']	['dis', '##em', '##vo', '##well', '##ed']	dis ##em ##vo ##well ##ed
blend	dishrupted	dish disrupted	XXXABBBBBB	nonlinear	topical	['▁dish', 'ru', 'p', 't', 'ed']	['dish', '##ru', '##p', '##t', '##ed']	dish ##ru ##p ##t ##ed
blend	distractibaking	distraction bake	AAAAAAAAABBBSSS	linear	purpose	['▁distract', 'iba', 'king']	['distract', '##iba', '##king']	distract ##iba ##king
blend	drunkalog	drunk dialog	XAAAABBBB	nonlinear	time	['▁drunk', 'a', 'log']	['drunk', '##a', '##log']	drunk ##a ##log
blend	drunkicidal	drunk suicidal	AAAAABBBBBB	linear	time	['▁drunk', 'ici', 'dal']	['drunk', '##ici', '##dal']	drunk ##ici ##dal
blend	econblogging	economy blogging	AAAABBBBSSSS	linear	topical	['▁', 'e', 'con', 'b', 'logging']	['', '##e', '##con', '##b', '##logging']	 ##e ##con ##b ##logging
blend	eggceptional	egg exception	XAABBBBBBBSS	nonlinear	attribute	['▁egg', 'cept', 'ion', 'al']	['egg', '##cept', '##ion', '##al']	egg ##cept ##ion ##al
blend	eggcessories	egg accessory	AAABBBBBBSSS	linear	containment	['▁egg', 'ce', 's', 's', 'ories']	['egg', '##ce', '##s', '##s', '##ories']	egg ##ce ##s ##s ##ories
blend	fandomonium	fandom pandamonium	AXXXAXBBBBB	nonlinear	causal	['▁fan', 'dom', 'on', 'ium']	['fan', '##dom', '##on', '##ium']	fan ##dom ##on ##ium
blend	fanimatic	fan animation cinematic	AXXBXXXCC	linear	causal	['▁fan', 'i', 'matic']	['fan', '##i', '##matic']	fan ##i ##matic
blend	fanthropologist	fan anthropologist	AXXBBBBBBBBBBBB	linear	topical	['▁fan', 'throp', 'ologist']	['fan', '##throp', '##ologist']	fan ##throp ##ologist
blend	fitfluencers	fit influencer	AAABBBBBBBBS	linear	purpose	['▁fit', 'flu', 'ence', 'rs']	['fit', '##flu', '##ence', '##rs']	fit ##flu ##ence ##rs
blend	fluba	flute tuba	AAXBB	linear	attribute	['▁flu', 'ba']	['flu', '##ba']	flu ##ba
blend	four`easter	four nor`east	AXAXBBBBBSS	nonlinear	other	['▁four', '`', 'east', 'er']	['four', '##`', '##east', '##er']	four ##` ##east ##er
blend	frenemesis	friend enemy nemesis	AAXXXXCCCC	linear	attribute	['▁', 'fr', 'ene', 'mes', 'is']	['', '##fr', '##ene', '##mes', '##is']	 ##fr ##ene ##mes ##is
blend	frumpers	frump jumper	AAXXXBBS	linear	attribute	['▁f', 'rum', 'p', 'ers']	['f', '##rum', '##p', '##ers']	f ##rum ##p ##ers
blend	fuchsenta	fuchsia magenta	AAAAABBBX	nonlinear	attribute	['▁f', 'uch', 'sen', 'ta']	['f', '##uch', '##sen', '##ta']	f ##uch ##sen ##ta
blend	galactogogues	galactic synagogue	AAAAAAOBBBBBS	linear	attribute	['▁', 'gal', 'act', 'og', 'ogue', 's']	['', '##gal', '##act', '##og', '##ogue', '##s']	 ##gal ##act ##og ##ogue ##s
blend	gentlepersonly	gentleman person	AAAAAABBBBBBSS	linear	attribute	['▁gentle', 'person', 'ly']	['gentle', '##person', '##ly']	gentle ##person ##ly
blend	glamborgeous	glamour gorgeous	XAAAOXXBBBBB	linear	attribute	['▁g', 'la', 'mb', 'org', 'eous']	['g', '##la', '##mb', '##org', '##eous']	g ##la ##mb ##org ##eous
blend	glampground	glamour campground	AAXXBBBBBBB	linear	attribute	['▁', 'gl', 'amp', 'ground']	['', '##gl', '##amp', '##ground']	 ##gl ##amp ##ground
blend	gruxury	grunge luxury	AAXBBBB	linear	attribute	['▁', 'gr', 'ux', 'ur', 'y']	['', '##gr', '##ux', '##ur', '##y']	 ##gr ##ux ##ur ##y
blend	gymternet	gym internet	AAABBBBBB	linear	loc_part_whole	['▁gym', 'ter', 'net']	['gym', '##ter', '##net']	gym ##ter ##net
blend	hackistocracy	hack aristocracy	AAAABBBBBBBBB	linear	attribute	['▁', 'hack', 'ist', 'ocracy']	['', '##hack', '##ist', '##ocracy']	 ##hack ##ist ##ocracy
blend	hatriotism	hate patriot	AXXBBBBSSS	linear	attribute	['▁hat', 'rio', 't', 'ism']	['hat', '##rio', '##t', '##ism']	hat ##rio ##t ##ism
blend	himpathy	him empathy	AAXBBBBB	linear	owner_emp_use	['▁him', 'pathy']	['him', '##pathy']	him ##pathy
blend	hoboning	hobo bone	AAXXBSSS	linear	owner_emp_use	['▁ho', 'bon', 'ing']	['ho', '##bon', '##ing']	ho ##bon ##ing
blend	hoejabi	hoe hijabi	XAABBBB	nonlinear	attribute	['▁', 'hoe', 'ja', 'bi']	['', '##hoe', '##ja', '##bi']	 ##hoe ##ja ##bi
blend	hooficuffs	hoof fisticuffs	AAAABBBBBB	linear	attribute	['▁', 'hoo', 'fi', 'cuff', 's']	['', '##hoo', '##fi', '##cuff', '##s']	 ##hoo ##fi ##cuff ##s
blend	humailiation	humiliation mail	AAXBXXAASSSS	nonlinear	topical	['▁', 'hu', 'mail', 'i', 'ation']	['', '##hu', '##mail', '##i', '##ation']	 ##hu ##mail ##i ##ation
blend	innoventor	innovate inventor	XXAAXBBBBB	nonlinear	causal	['▁in', 'no', 'vent', 'or']	['in', '##no', '##vent', '##or']	in ##no ##vent ##or
blend	instacelebs	instagram celeb	AAAAABBBBBS	linear	loc_part_whole	['▁in', 'sta', 'cel', 'eb', 's']	['in', '##sta', '##cel', '##eb', '##s']	in ##sta ##cel ##eb ##s
blend	instapays	instant pay	AAAAABBBS	linear	time	['▁in', 'sta', 'pay', 's']	['in', '##sta', '##pay', '##s']	in ##sta ##pay ##s
blend	jacuz	jacuzzi recuse	AAXXA	nonlinear	cause	['▁j', 'ac', 'uz']	['j', '##ac', '##uz']	j ##ac ##uz
blend	jetiquette	jet etiquette	AXXBBBBBBB	linear	loc_part_whole	['▁jet', 'i', 'quette']	['jet', '##i', '##quette']	jet ##i ##quette
blend	jobbymoons	job honeymoon	AXAOBBBBBS	nonlinear	purpose	['▁job', 'by', 'mo', 'ons']	['job', '##by', '##mo', '##ons']	job ##by ##mo ##ons
blend	karligraphy	karl calligraphy	AXAXBBBBBBB	nonlinear	owner_emp_use	['▁', 'kar', 'li', 'graph', 'y']	['', '##kar', '##li', '##graph', '##y']	 ##kar ##li ##graph ##y
blend	kibathroom	kitchen bathroom	AABBBBBBBB	linear	attribute	['▁', 'ki', 'bath', 'room']	['', '##ki', '##bath', '##room']	 ##ki ##bath ##room
blend	kidfluencer	kid influencer	AAABBBBBBBB	linear	attribute	['▁kid', 'flu', 'ence', 'r']	['kid', '##flu', '##ence', '##r']	kid ##flu ##ence ##r
blend	kwaussie	kiwi aussie	AABBBBBB	linear	attribute	['▁', 'k', 'wa', 'us', 's', 'ie']	['', '##k', '##wa', '##us', '##s', '##ie']	 ##k ##wa ##us ##s ##ie
blend	kyshadow	kylie eyeshadow	AXBBBBBB	linear	owner_emp_use	['▁', 'ky', 's', 'had', 'ow']	['', '##ky', '##s', '##had', '##ow']	 ##ky ##s ##had ##ow
blend	magpiety	magpie piety	AAAXXXBB	linear	cause	['▁', 'm', 'ag', 'p', 'iety']	['', '##m', '##ag', '##p', '##iety']	 ##m ##ag ##p ##iety
blend	malestream	male mainstream	XXAABBBBBB	nonlinear	causal	['▁male', 'stream']	['male', '##stream']	male ##stream
blend	manumotive	manual motive	AAAABBBBBB	linear	causal	['▁man', 'um', 'o', 'tive']	['man', '##um', '##o', '##tive']	man ##um ##o ##tive
blend	masculennial	masculine millennial	XAAAAXBBBBBB	nonlinear	attribute	['▁', 'ma', 'scu', 'l', 'ennial']	['', '##ma', '##scu', '##l', '##ennial']	 ##ma ##scu ##l ##ennial
blend	mispers	missing person	AAABBBS	linear	owner_emp_use	['▁mis', 'p', 'ers']	['mis', '##p', '##ers']	mis ##p ##ers
blend	motorvate	motor motivate	XXXAABBBB	nonlinear	topical	['▁motor', 'vat', 'e']	['motor', '##vat', '##e']	motor ##vat ##e
blend	normible	normal terrible	AAAABBBB	linear	attribute	['▁norm', 'ible']	['norm', '##ible']	norm ##ible
blend	nowcasters	now forecast	AAABBBBSSS	linear	time	['▁now', 'cast', 'ers']	['now', '##cast', '##ers']	now ##cast ##ers
blend	occasiotarian	occasio vegetarian	AAAAAAABBBBBB	linear	time	['▁', 'o', 'cca', 's', 'io', 't', 'arian']	['', '##o', '##cca', '##s', '##io', '##t', '##arian']	 ##o ##cca ##s ##io ##t ##arian
blend	orcaestraits	orca orchestrate straits	XXXABXXXXCCC	nonlinear	loc_part_whole	['▁or', 'ca', 'e', 'stra', 'its']	['or', '##ca', '##e', '##stra', '##its']	or ##ca ##e ##stra ##its
blend	panities	panty vanity	AXXBBSSS	linear	loc_part_whole	['▁pan', 'ities']	['pan', '##ities']	pan ##ities
blend	pathobigot	pathological bigot	AAAAABBBBB	linear	attribute	['▁path', 'ob', 'igo', 't']	['path', '##ob', '##igo', '##t']	path ##ob ##igo ##t
blend	pawrent	paw parent	XXABBBB	nonlinear	owner_emp_use	['▁', 'p', 'aw', 'rent']	['', '##p', '##aw', '##rent']	 ##p ##aw ##rent
blend	pawternity	paw paternity	XXABBBBBBB	nonlinear	attribute	['▁', 'p', 'aw', 'tern', 'ity']	['', '##p', '##aw', '##tern', '##ity']	 ##p ##aw ##tern ##ity
blend	paytriarchy	pay patriarchy	XXABBBBBBBB	nonlinear	causal	['▁pay', 'tri', 'arch', 'y']	['pay', '##tri', '##arch', '##y']	pay ##tri ##arch ##y
blend	perfidection	perfidious perfection	XXXXAABBBBBB	nonlinear	attribute	['▁per', 'fi', 'de', 'ction']	['per', '##fi', '##de', '##ction']	per ##fi ##de ##ction
blend	plastigoop	plastic goop	AAAAAABBBB	linear	containment	['▁', 'p', 'last', 'igo', 'op']	['', '##p', '##last', '##igo', '##op']	 ##p ##last ##igo ##op
blend	podfasters	podcast fast	AAABXXXSSS	nonlinear	topical	['▁pod', 'fast', 'ers']	['pod', '##fast', '##ers']	pod ##fast ##ers
blend	poptronic	pop electronic	AAABBBBBB	linear	attribute	['▁pop', 't', 'ronic']	['pop', '##t', '##ronic']	pop ##t ##ronic
blend	prayformances	pray performance	XXAABBBBBBBBS	nonlinear	topical	['▁pray', 'form', 'ance', 's']	['pray', '##form', '##ance', '##s']	pray ##form ##ance ##s
blend	pregret	regret	PXXAAAA	linear	time	['▁pre', 'g', 're', 't']	['pre', '##g', '##re', '##t']	pre ##g ##re ##t
blend	procrastibaker	procrastinate bake	AAAAAAAAABBBSS	linear	purpose	['▁pro', 'cra', 's', 't', 'iba', 'ker']	['pro', '##cra', '##s', '##t', '##iba', '##ker']	pro ##cra ##s ##t ##iba ##ker
blend	procrasticleaning	procrastinate clean	AAAAAAAAABBBBBSSS	linear	purpose	['▁pro', 'cr', 'astic', 'leaning']	['pro', '##cr', '##astic', '##leaning']	pro ##cr ##astic ##leaning
blend	puptials	puppy nuptial	AXXBBBBS	linear	containment	['▁', 'p', 'up', 't', 'ial', 's']	['', '##p', '##up', '##t', '##ial', '##s']	 ##p ##up ##t ##ial ##s
blend	rockconteur	rock raconteur	XAAABBBBBBB	nonlinear	topical	['▁rock', 'con', 't', 'eur']	['rock', '##con', '##t', '##eur']	rock ##con ##t ##eur
blend	roofalanches	roof avalanche	AAAABBBBBBBS	linear	attribute	['▁roof', 'al', 'an', 'ches']	['roof', '##al', '##an', '##ches']	roof ##al ##an ##ches
blend	sceeves	scarf sleeve	AABBBBS	linear	attribute	['▁', 's', 'ce', 'e', 've', 's']	['', '##s', '##ce', '##e', '##ve', '##s']	 ##s ##ce ##e ##ve ##s
blend	sciencuality	science sensual	XAAXXABBBSSS	nonlinear	topical	['▁sci', 'en', 'c', 'uality']	['sci', '##en', '##c', '##uality']	sci ##en ##c ##uality
blend	shaleionaires	shale millionaire	AAAXABBBBBBBS	nonlinear	cause	['▁shale', 'ion', 'aire', 's']	['shale', '##ion', '##aire', '##s']	shale ##ion ##aire ##s
blend	shesteading	she seastead	XAXBBBBBSSS	nonlinear	causal	['▁she', 'stead', 'ing']	['she', '##stead', '##ing']	she ##stead ##ing
blend	shoptics	shop optic	AAXXBBBS	linear	loc_part_whole	['▁shop', 'tic', 's']	['shop', '##tic', '##s']	shop ##tic ##s
blend	skouzers	skirt trouser	AABBOBBS	linear	attribute	['▁', 's', 'ko', 'uz', 'ers']	['', '##s', '##ko', '##uz', '##ers']	 ##s ##ko ##uz ##ers
blend	slowbalization	slow globalization	AXXABBBBBBBBBB	nonlinear	attribute	['▁slow', 'bal', 'ization']	['slow', '##bal', '##ization']	slow ##bal ##ization
blend	snacktivities	snack activity	AAXXABBBBBSSS	nonlinear	purpose	['▁snack', 't', 'iv', 'ities']	['snack', '##t', '##iv', '##ities']	snack ##t ##iv ##ities
blend	snaketivity	snake nativity	AXXAABBBBBB	nonlinear	attribute	['▁snake', 't', 'ivity']	['snake', '##t', '##ivity']	snake ##t ##ivity
blend	snarcasm	snark sarcasm	XAXXBBBB	nonlinear	attribute	['▁', 's', 'nar', 'ca', 's', 'm']	['', '##s', '##nar', '##ca', '##s', '##m']	 ##s ##nar ##ca ##s ##m
blend	snatchphrase	snatch catchphrase	AAXXXXBBBBBB	linear	loc_part_whole	['▁snatch', 'p', 'hr', 'ase']	['snatch', '##p', '##hr', '##ase']	snatch ##p ##hr ##ase
blend	snidbits	snide tidbit	AAXXBBBS	linear	attribute	['▁', 's', 'ni', 'd', 'bit', 's']	['', '##s', '##ni', '##d', '##bit', '##s']	 ##s ##ni ##d ##bit ##s
blend	snowgie	snow snuggie	XXAABBB	nonlinear	containment	['▁snow', 'gie']	['snow', '##gie']	snow ##gie
blend	soulappella	soul a_cappella	AAAABBBBBBB	linear	attribute	['▁soul', 'a', 'p', 'p', 'ella']	['soul', '##a', '##p', '##p', '##ella']	soul ##a ##p ##p ##ella
blend	stacktician	stack tactician	AXXXABBBBBB	nonlinear	purpose	['▁stack', 'tic', 'ian']	['stack', '##tic', '##ian']	stack ##tic ##ian
blend	suberogatory	sub supererogatory	XXABBBBBBBBB	nonlinear	attribute	['▁sub', 'er', 'og', 'atory']	['sub', '##er', '##og', '##atory']	sub ##er ##og ##atory
blend	techceleration	tech acceleration	AAXABBBBBBBBBB	nonlinear	causal	['▁tech', 'ce', 'ler', 'ation']	['tech', '##ce', '##ler', '##ation']	tech ##ce ##ler ##ation
blend	techlash	tech backlash	AAXABBBB	nonlinear	causal	['▁tech', 'lash']	['tech', '##lash']	tech ##lash
blend	techsploitation	tech exploitation	AXAAOBBBBBBBBBB	nonlinear	causal	['▁tech', 's', 'p', 'lo', 'it', 'ation']	['tech', '##s', '##p', '##lo', '##it', '##ation']	tech ##s ##p ##lo ##it ##ation
blend	thrupple	three couple	AAABOBBB	linear	containment	['▁', 'th', 'ru', 'p', 'p', 'le']	['', '##th', '##ru', '##p', '##p', '##le']	 ##th ##ru ##p ##p ##le
blend	tixels	tactile pixel	ABBBBS	linear	purpose	['▁', 't', 'ix', 'el', 's']	['', '##t', '##ix', '##el', '##s']	 ##t ##ix ##el ##s
blend	tomacco	tomato tobacco	XXAXBBX	nonlinear	attribute	['▁to', 'm', 'acco']	['to', '##m', '##acco']	to ##m ##acco
blend	tradwife	traditional wife	AAAABBBB	linear	attribute	['▁', 'tra', 'd', 'wife']	['', '##tra', '##d', '##wife']	 ##tra ##d ##wife
blend	transface	transgender blackface	AAAAABBBB	linear	owner_emp_use	['▁trans', 'face']	['trans', '##face']	trans ##face
blend	translaptations	translation adaptation	AAAAAAXBBXXXXXS	nonlinear	attribute	['▁trans', 'la', 'p', 't', 'ation', 's']	['trans', '##la', '##p', '##t', '##ation', '##s']	trans ##la ##p ##t ##ation ##s
blend	treecycling	tree recycle	AXXABBBBSSS	nonlinear	objective	['▁tree', 'cycli', 'ng']	['tree', '##cycli', '##ng']	tree ##cycli ##ng
blend	trimmigrants	trim immigrants	AAXXBBBBBBBB	linear	owner_emp_use	['▁trim', 'migrants']	['trim', '##migrants']	trim ##migrants
blend	twunks	twink hunk	AABXXS	nonlinear	attribute	['▁', 't', 'w', 'unk', 's']	['', '##t', '##w', '##unk', '##s']	 ##t ##w ##unk ##s
blend	undeadpan	undead deadpan	AAXXXXBBB	linear	owner_emp_use	['▁un', 'de', 'ad', 'p', 'an']	['un', '##de', '##ad', '##p', '##an']	un ##de ##ad ##p ##an
blend	undogly	ungodly dog	AAXXXAA	nonlinear	attribute	['▁un', 'dog', 'ly']	['un', '##dog', '##ly']	un ##dog ##ly
blend	vajacial	vagina facial	AAOBBBBB	linear	loc_part_whole	['▁', 'va', 'ja', 'cial']	['', '##va', '##ja', '##cial']	 ##va ##ja ##cial
blend	velfie	video selfie	ABBBBB	linear	loc_part_whole	['▁', 've', 'lf', 'ie']	['', '##ve', '##lf', '##ie']	 ##ve ##lf ##ie
blend	verminfluencers	vermin influencer	AAAAXXBBBBBBBBS	linear	topical	['▁', 'ver', 'mi', 'nfluence', 'rs']	['', '##ver', '##mi', '##nfluence', '##rs']	 ##ver ##mi ##nfluence ##rs
blend	weekiversary	week anniversary	AAAABBBBBBBB	linear	time	['▁week', 'iver', 's', 'ary']	['week', '##iver', '##s', '##ary']	week ##iver ##s ##ary
blend	womanfold	woman manifold	AAXXXBBBB	linear	attribute	['▁woman', 'fold']	['woman', '##fold']	woman ##fold
blend	womanhole	woman manhole	AAXXXBBBB	linear	purpose	['▁woman', 'hole']	['woman', '##hole']	woman ##hole
transparent compound	batchcode	batch code	AAAAABBBB	linear	time	['▁batch', 'co', 'de']	['batch', '##co', '##de']	batch ##co ##de
transparent compound	blockholding	block hold	AAAAABBBBSSS	linear	owner_emp_use	['▁block', 'hold', 'ing']	['block', '##hold', '##ing']	block ##hold ##ing
transparent compound	bloodfruit	blood fruit	AAAAABBBBB	linear	attribute	['▁blood', 'fr', 'uit']	['blood', '##fr', '##uit']	blood ##fr ##uit
transparent compound	bodyhacking	body hack	AAAABBBBSSS	linear	cause	['▁body', 'hack', 'ing']	['body', '##hack', '##ing']	body ##hack ##ing
transparent compound	bodysnatched	body snatch	AAAABBBBBBSS	linear	cause	['▁body', 's', 'n', 'atch', 'ed']	['body', '##s', '##n', '##atch', '##ed']	body ##s ##n ##atch ##ed
transparent compound	bowperson	bow person	AAABBBBBB	linear	loc_part_whole	['▁bow', 'person']	['bow', '##person']	bow ##person
transparent compound	bubblesong	bubble song	AAAAAABBBB	linear	containment	['▁bubble', 's', 'ong']	['bubble', '##s', '##ong']	bubble ##s ##ong
transparent compound	buckstopping	buck stop	AAAABBBBSSSS	linear	objective	['▁buck', 'stopping']	['buck', '##stopping']	buck ##stopping
transparent compound	buttonsize	button size	AAAAAABBBB	linear	complement	['▁button', 'size']	['button', '##size']	button ##size
transparent compound	camgirl	cam girl	AAABBBB	linear	causal	['▁ca', 'm', 'girl']	['ca', '##m', '##girl']	ca ##m ##girl
transparent compound	catsit	cat sit	AAABBB	linear	objective	['▁cats', 'it']	['cats', '##it']	cats ##it
transparent compound	chatbox	chat box	AAAABBB	linear	containment	['▁chat', 'box']	['chat', '##box']	chat ##box
transparent compound	colorimetric	color metric	AAAAAOBBBBBB	linear	other	['▁color', 'i', 'metric']	['color', '##i', '##metric']	color ##i ##metric
transparent compound	cropmarks	crop mark	AAAABBBBS	linear	loc_part_whole	['▁crop', 'mark', 's']	['crop', '##mark', '##s']	crop ##mark ##s
transparent compound	cryptoart	crypto art	AAAAAABBB	linear	loc_part_whole	['▁crypt', 'o', 'art']	['crypt', '##o', '##art']	crypt ##o ##art
transparent compound	cryptocoin	crypto coin	AAAAAABBBB	linear	loc_part_whole	['▁crypt', 'o', 'co', 'in']	['crypt', '##o', '##co', '##in']	crypt ##o ##co ##in
